"Category","Mean R","Question","Item-wise R"
"relabeled",0.458402453967891,"thoughts_mind",0.62592133127643
"relabeled",0.458402453967891,"overwhelm_emotion",0.617672152998317
"relabeled",0.458402453967891,"dream",0.548742668474406
"relabeled",0.458402453967891,"vision_mind",0.529120935077582
"relabeled",0.458402453967891,"voice_mind",0.520827246105099
"relabeled",0.458402453967891,"illness",0.19593706357988
"relabeled",0.458402453967891,"pain",0.170595780263523
"(other)",0.36180190656637,"healing_self",0.418707327915764
"(other)",0.36180190656637,"power",0.41431468969278
"(other)",0.36180190656637,"healing_other",0.383725154129264
"(other)",0.36180190656637,"slain_in_spirit",0.230460454527673
"outer_sensory",0.300253480779883,"vision_eyes",0.437609311873792
"outer_sensory",0.300253480779883,"touch",0.381395613686832
"outer_sensory",0.300253480779883,"voice_ears",0.358343147608384
"outer_sensory",0.300253480779883,"smell",0.189756271640079
"outer_sensory",0.300253480779883,"taste",0.134163059090327
"presence",0.296057152886249,"presence_god",0.457838718579349
"presence",0.296057152886249,"presence_demon",0.290862786963374
"presence",0.296057152886249,"presence_other",0.139469953116022
"weird",0.0858957274116105,"possession",0.180161488559666
"weird",0.0858957274116105,"out_of_body",0.0887950802075377
"weird",0.0858957274116105,"sleep_paralysis",-0.0112693865323718
